Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,61,0,61,Not Applicable,Not Applicable,0,Yes,0.5,No,Not Applicable,Not Applicable,0.5,5076,3.75,0,0,0,406648,468398,89498,0,964544,0,5,173866,35,Not Applicable,0,-55395,0,Not Applicable,Not Applicable,-55395,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NORTH WEST COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,130,1,131,Not Applicable,Not Applicable,0,Yes,1,Yes,41030,8,1,5473,1.16,0,0,10073426,3355824,137641,441050,0,14007941,0,8,100000,20,Not Applicable,-133200,-393272,0,Not Applicable,Not Applicable,-526472,3,7,2,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,103,0,103,Not Applicable,Not Applicable,0,Yes,1,Yes,0,0,1,1122,1.04,0,0,0,7067000,1586000,62000,0,8715000,0,3,565690,59.6,Not Applicable,0,0,0,Not Applicable,Not Applicable,0,1,3,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,MIDLANDS COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,56,0,56,Not Applicable,Not Applicable,0,Yes,0.5,No,Not Applicable,Not Applicable,0.7,2144,9.45,0,0,0,0,1063825,0,0,1063825,0,6,325264,38.18,Not Applicable,0,0,-83764,Not Applicable,Not Applicable,-83764,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,6,2,0,0,0,47,9,2,66,17,5,12,Yes,0,Yes,0,0,0,100,3.22,0,8,0,6297300,571042,190423,0,6968986,89779,0,Not Applicable,Not Applicable,0,-38669,-81022,6058,0,0,-113633,5,35,15,0,0,0,0,139048,3. Mixed,External
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,2,0,18,8,0,30,6,16,1,Yes,0,Yes,97809,19.2,1.2,566,2.1,0,2,30578000,7139568,6289360,135389,0,44142317,0,0,Not Applicable,Not Applicable,-324036,-4918691,-2174106,-503332,-1193504,-139965,-9253634,5,264,13,0,0,0,1215849,813952,3. Mixed,Hybrid
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,5,1,0,0,0,2,23,5,1,37,20,4,0,Yes,0.4,No,Not Applicable,Not Applicable,0.4,0,7.35,0,2,1440281,0,678541,0,0,2118822,0,0,Not Applicable,Not Applicable,-191517,-565141,-559518,0,0,0,-1316176,20,11,0,0,2,0,0,59261,3. Mixed,External
RXF,MID YORKSHIRE TEACHING NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,18,5,0,26,0,8,0,Yes,1,No,Not Applicable,Not Applicable,0.4,3693,20.65,0,3,4428828,4144438,4611768,472722,0,12599240,1058516,3,2294586,0,-8748,160279,-66976,-19725,-2224745,-1269655,-3429570,1,41,37,0,0,0,173290,83288,3. Mixed,Hybrid
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,15,1,4,0,0,21,11,0,54,9,1,2,Yes,0,Yes,5000,0,1,5329,4.3,0,4,0,2637526,4152579,87406,0,6229511,648000,1,0,60,0,-326507,-61649,-44663,0,0,-432819,3,199,8,0,0,0,105412,113102,3. Mixed,Hybrid
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,2,0,7,2,0,14,6,2,0,Yes,1,No,Not Applicable,Not Applicable,1,1021,3.46,0,0,75144701,9206828,11034702,2705681,1053566,90702680,6335666,2,501311,23,-20652,-1523162,0,0,-180,0,-1543994,8,0,196,0,0,0,274926,497538,3. Mixed,Hybrid
