Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,4,1,0,0,0,0,0,0,2,2,0,9,3,5,0,No,1,No,Not Applicable,Not Applicable,1,24005,11.31,3.8,15,44301290,21057000,9059000,1152710,13111000,44522000,17937000,1,0,0,-66320,-256328,0,0,-3262699,-1352405,-4937752,7,238,41,0,0,0,814392,185438,3. Mixed,Internal
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,2,0,0,0,0,1,0,13,13,1,32,12,2,0,Yes,1,No,Not Applicable,Not Applicable,1.85,20385,18.08,0,25,0,15457380,0,689482,0,15681508,465354,3,1386336,84,-803877,-83880,0,0,-2290688,-953967,-4132412,4,534,2,0,0,0,4289828,187471,3. Mixed,Hybrid
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,1,0,1,0,0,0,0,0,24,5,0,31,17,2,1,Yes,0.2,Yes,17500,70,0.3,6470,6.02,0,0,16920887,14491815,5264295,0,5264295,31263702,149000,2,368000,74,-23168,-10831,0,0,-2681038,-464701,-3179738,9,242,17,0,0,0,722397,552029,3. Mixed,Internal
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,1,0,0,0,0,0,1,0,9,2,0,13,2,3,0,Yes,1,Yes,0,0,0.25,1049,0.84,0,14,5957595,12552206,6940820,315840,0,25766461,0,5,988875,0,-403013,-140118,-6068,-242959,-1885567,-427504,-3105229,1,96,1,0,0,0,446782,210652,3. Mixed,Hybrid
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,2,0,0,0,0,0,2,34,4,0,44,0,6,1,Yes,2,Yes,0,0,1,9445,3.63,0,39,1830631,31618629,14657394,7262861,0,54768638,600877,0,Not Applicable,Not Applicable,-1223007,-277331,-651592,-4227,-859948,-138819,-3154924,3,398,51,0,0,0,1980297,112177,2. Electronic,Internal
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,0,0,7,2,0,11,0,5,0,No,1,No,Not Applicable,Not Applicable,0.3,1118,3,0,3,0,10471493,4699052,0,0,15170545,0,0,Not Applicable,Not Applicable,-175529,0,0,0,-1517843,-283236,-1976608,4,368,4,0,0,0,3029178,358907,3. Mixed,Hybrid
RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,13,1,0,15,4,6,0,Yes,0.5,No,Not Applicable,Not Applicable,0.7,5984,2,0,8,12952441,5523843,943633,2127000,0,21546917,0,0,Not Applicable,Not Applicable,-42971,-827300,-401013,0,-1187775,-104724,-2563783,3,314,0,0,0,0,467899,259265,3. Mixed,Hybrid
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,1,0,27,3,1,33,3,3,9,Yes,1,No,Not Applicable,Not Applicable,1,6221,6.78,0,0,26126659,5069448,6468914,9619298,0,46196129,1088190,1,1,0,-165060,-2811105,-1569215,0,-1591138,-170238,-6306756,3,154,2,0,0,0,2119446,795183,3. Mixed,Other
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,2,0,0,9,3,56,13,0,84,34,22,15,No,1,No,Not Applicable,Not Applicable,0,1091,1.65,0,0,24395000,4944000,254000,1002000,0,30566000,29000,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,8,36,28,0,0,0,42789,218672,3. Mixed,Other
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,1,0,72,23,0,98,90,22,5,Yes,1,No,Not Applicable,Not Applicable,1,11891,21.1,160.93,0,19013779,11000041,517769,0,0,22764589,7767000,0,Not Applicable,Not Applicable,-1397140,-517,-1336091,0,-1223013,-482986,-4439747,1,48,0,0,0,0,1265373,29233,3. Mixed,Hybrid
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,0,5,0,7,0,0,0,Yes,1,No,Not Applicable,Not Applicable,3,14850,13.49,0,6,14185421,13887356,7720511,781537,0,33735984,2838841,3,146331,24,138068,-117750,-33323,0,-2474592,-1317811,-3805408,4,113,51,0,0,0,1399505,279850,3. Mixed,Hybrid
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,3,0,0,0,0,0,0,0,39,2,0,44,39,7,24,Yes,1,Yes,30324,1.03,0.5,5918,8.72,0,15,8212670,10818198,12367622,856743,0,29452693,2802540,3,4211353,0,-23546,-253666,0,0,-2137305,-653094,-3067611,0,246,11,0,0,0,2600354,232798,3. Mixed,Hybrid
RJN,EAST CHESHIRE NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,30,0,0,32,22,0,7,No,0,No,Not Applicable,Not Applicable,0,3000,18,0,0,4212000,4110000,0,0,0,8100000,222000,1,485000,140,-116101,59094,-97568,0,-584994,-287427,-1026996,3,16,18,0,0,0,732917,23177,3. Mixed,Hybrid
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,1,2,0,5,1,1,0,No,1,Yes,0,0,1,7901,9.38,0,2,2079024,7279353,736361,0,0,8894738,1200000,0,Not Applicable,Not Applicable,-310466,-449995,-4172,0,-971105,-525567,-2261305,1,18,39,0,0,0,179733,73201,3. Mixed,Internal
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,24,2,0,29,12,9,0,No,1,Yes,46000,20.5,2,10895,22.42,0,4,13540552,3162684,7464726,300879,0,24086538,382303,0,Not Applicable,Not Applicable,-1224086,0,-2431545,0,-860126,-956614,-5472371,5,226,5,0,0,0,2715433,1685376,3. Mixed,Internal
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,0,0,0,1,0,3,0,2,0,Yes,0.2,No,Not Applicable,Not Applicable,1,710,3.48,0,1,0,4119000,5721000,0,0,9840000,0,0,Not Applicable,Not Applicable,0,0,0,0,-1407718,-60000,-1467718,4,0,78,0,0,0,2547730,60000,3. Mixed,Hybrid
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,4,1,25,15,1,47,22,6,1,Yes,0,Yes,13127,7.13,0,8763,38.58,0,10,63519999,10459883,3057693,339769,0,77377344,0,0,Not Applicable,Not Applicable,-799614,-8327,144716,0,-1354009,-919660,-2936894,4,83,10,0,0,0,4046099,126728,3. Mixed,Internal
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,11,3,0,16,9,3,0,No,1,Yes,14200,34.35,1,166,1.25,0,0,0,542000,9847000,1670000,8580000,3479000,0,0,Not Applicable,Not Applicable,-60180,-2491361,-1218354,0,-6383762,-3743386,-13897043,1,0,105,0,0,0,0,1359845,3. Mixed,External
RKE,WHITTINGTON HEALTH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,0,0,0,0,0,65,0,0,66,37,10,0,No,0.4,Yes,0,0,0.4,23210,4,0,0,1698000,13658738,7319131,756000,0,23292420,139449,1,1698000,0,-97409,-73890,0,0,-80656,0,-251955,2,82,5,0,0,0,641064,464321,3. Mixed,Hybrid
RKL,WEST LONDON NHS TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,6,0,0,1,0,38,3,0,48,10,6,6,Yes,0.25,No,Not Applicable,Not Applicable,0.7,20392,57,0,1,1256157,4950551,13933531,16708761,0,36084000,765000,1,1030000,0,0,1452205,-148901,-16597,-67646,0,1219061,15,258,2,0,0,0,64366,108503,1. Paper,Hybrid
RL1,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0.1,No,Not Applicable,Not Applicable,0.1,2147,2.71,0,1,3139010,253456,594198,702282,0,4688946,0,0,Not Applicable,Not Applicable,13882,281053,-132524,0,-268648,0,-106237,6,25,3,0,0,0,242252,25754,3. Mixed,Hybrid
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,1,0,17,0,0,20,0,7,0,Yes,1,Yes,5963,2.7,1,38112,39.8,0,5,0,25156702,8938346,3249915,0,37284549,60414,1,513076,198.4,-205399,-23794,-495593,-3233,-1681664,0,-2409683,0,0,144,0,0,0,1467271,63306,3. Mixed,Internal
RLQ,WYE VALLEY NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MULTI-SERVICE,1,0,0,0,0,0,3,0,10,5,0,19,2,2,0,Yes,0.2,No,Not Applicable,Not Applicable,0.6,5573,5.5,0,0,13809150,1427454,0,597668,0,15834272,0,0,Not Applicable,Not Applicable,-40375,-52922,-4633,0,-483285,-410475,-991690,0,17,49,0,0,0,858129,266633,3. Mixed,Internal
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,17,1,0,19,17,8,0,Yes,0,Yes,30985,0,1.5,1913,3.84,0,3,4528000,2562000,3009000,21000,0,10120000,0,1,185000,20.7,-78813,-487254,-890551,0,-718238,-274407,-2449263,0,84,0,0,0,0,0,1494182,3. Mixed,Internal
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,10,3,2,0,0,8,5,0,28,3,0,0,No,1,No,Not Applicable,Not Applicable,1,0,0,0,0,0,3529961,140474,1261536,0,4931971,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,1,15,0,0,0,0,110898,0,3. Mixed,Internal
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,1,0,0,0,0,0,5,7,0,14,0,1,0,Yes,0,No,Not Applicable,Not Applicable,0,7100,24,0,0,20330688,8268253,3843207,0,0,32433148,9000,0,Not Applicable,Not Applicable,-359268,0,0,0,-2038418,-1941115,-4338801,3,141,7,0,0,0,0,228000,3. Mixed,Hybrid
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,1,0,0,0,0,1,4,73,8,5,96,74,23,0,No,1,Yes,65000,0,5,8442,13.35,0,3,12745514,16224625,6001776,11442710,0,46382568,32057,0,Not Applicable,Not Applicable,-285335,-660076,-1519388,0,-2208479,-1245693,-5918971,6,184,181,0,0,0,0,0,3. Mixed,Hybrid
RMC,BOLTON NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,1,18,3,0,23,0,13,4,Yes,1,No,Not Applicable,Not Applicable,1,12129,10,502,3,0,14855337,0,33799,0,14882415,6721,2,1405144,0,-312163,-1555085,-7915106,-63468,-1319721,-533541,-11699084,1,11,57,0,0,0,2410405,221521,3. Mixed,Internal
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,12,4,0,18,3,0,2,Yes,0.6,Yes,9125,11.51,0.6,8207,15.13,0,14,6108000,375000,1503000,1841000,0,9735000,92000,0,Not Applicable,Not Applicable,0,-1053850,0,0,-583897,-416662,-2054409,0,93,23,0,0,0,829176,91537,3. Mixed,Hybrid
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,11,0,1,0,0,16,12,2,42,11,4,0,No,0.33,Yes,48131,46,0.66,1864,6.6,0,0,0,3338316,812562,52044,0,4202922,0,2,36673,0,0,48339,75252,-3638,0,0,119953,15,119,4,0,2,0,294821,0,3. Mixed,Internal
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,2,50,5,0,58,45,12,0,No,2,Yes,70025,79.75,2,1190,18.81,0,2,17433103,2981562,3596000,0,0,23910000,100665,0,Not Applicable,Not Applicable,203615,303002,2296047,26780,-1811472,-315125,702847,4,37,15,0,0,0,946000,181400,3. Mixed,External
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,0,0,4,3,0,10,1,1,0,No,1,No,Not Applicable,Not Applicable,1,4085,8,1,14,37165000,9074000,0,12856000,0,56606000,2489000,2,445000,10,-583862,0,-533700,-306954,-2220553,0,-3645069,4,163,8,0,0,0,1852428,637968,3. Mixed,Hybrid
RN7,DARTFORD AND GRAVESHAM NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - SMALL,1,0,1,0,0,0,0,0,18,2,0,22,0,2,0,Yes,0,Yes,0,0,0,641,5.06,0,4,32521000,1113000,2313000,724000,0,36671000,0,1,20000,0,0,-3480,-214012,-5404,0,0,-222896,5,25,16,0,0,0,1781783,146559,3. Mixed,Hybrid
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,15,2,0,18,7,9,0,Yes,1,Yes,0,0,0.5,7256,2.19,0,0,8766000,1090000,4542000,0,4275000,10123000,0,1,0,0,-113111,-449148,-299061,0,-1026441,-48301,-1936062,6,41,22,0,0,0,1811287,0,3. Mixed,Internal
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,0,0,0,0,0,23,0,0,23,19,0,16,No,0,No,Not Applicable,Not Applicable,0,8753,4.18,0,0,0,616000,556000,0,0,1172000,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,1,0,0,0,0,21000,0,3. Mixed,Internal
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,5,0,31,7,0,45,12,13,0,Yes,0.33,Yes,4480,0.54,1,3778,2.2,0,5,33182250,1618194,2716576,987248,2318898,36185370,0,0,Not Applicable,Not Applicable,-26644,-45377,0,0,-430088,-579671,-1081780,0,54,19,0,0,0,1850771,167206,3. Mixed,Hybrid
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,10,1,0,12,3,2,0,Yes,0,No,Not Applicable,Not Applicable,0,25397,80,0,2,12274140,5020140,1892017,173315,0,19359612,0,2,4180435,0,-82429,-193071,-281316,0,-907414,0,-1464230,0,14,8,0,0,0,1339563,375,3. Mixed,Internal
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,5,1,0,7,0,1,0,No,0.5,Yes,19295,35,1,4159,11.8,1,1,1758357,4036396,4688810,504022,0,10632221,355364,0,Not Applicable,Not Applicable,-355495,-76361,0,0,-1099997,0,-1531853,0,91,28,0,0,0,1041755,23751,3. Mixed,Hybrid
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,63,0,2,7,0,20,21,0,113,55,14,17,No,0,No,Not Applicable,Not Applicable,0,5989,0.82,0,0,0,7466203,0,157650,0,7623853,0,0,Not Applicable,Not Applicable,0,-756351,-939711,0,-224339,0,-1920401,6,236,2,0,0,0,14425,52352,1. Paper,Internal
RNZ,SALISBURY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,Yes,0.5,Yes,177490,0,0.5,1210,13.58,136.23,6,3491694,8412730,2259358,2412626,0,16313984,262424,1,845000,46.5,-149242,7021012,341054,0,-1629534,-907603,4675687,2,50,0,0,0,0,1604006,56550,3. Mixed,Internal
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,3,3,1,3,2,44,21,0,79,44,18,11,Yes,0,No,Not Applicable,Not Applicable,0,1087,1.2,0,0,0,1128767,4845468,620961,0,6595196,0,1,27000,0,0,0,0,0,0,0,0,8,27,0,0,0,0,1071299,138373,3. Mixed,Other
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,3,7,0,11,2,0,0,No,1,Yes,0,0,1,12992,24.37,0,4,22814000,1547000,11295000,15837000,0,32679000,18814000,9,344493,1.39,0,0,0,0,0,0,0,0,56,0,0,0,0,1269950,23709,3. Mixed,Hybrid
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,5,0,0,8,0,2,0,No,0,Yes,34476,0.12,0,18952,23,0,7,9314000,12685354,5496646,22293000,0,46747000,3042000,0,Not Applicable,Not Applicable,-118283,-1125860,-128475,0,-976264,-225900,-2574782,1,74,37,0,0,0,2695238,76174,3. Mixed,Hybrid
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,21,0,0,22,5,1,0,Yes,0.4,No,Not Applicable,Not Applicable,0.5,1728,1.03,0,1,97098568,1165986,1085360,0,0,84365901,14984013,1,13496,6.49,-65514,-357461,-23281,0,0,0,-446256,0,1,14,0,0,0,916881,1752079,3. Mixed,Hybrid
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,8,0,1,0,0,23,22,2,56,16,5,1,Yes,1,No,Not Applicable,Not Applicable,0,0,0,0,0,22587999,1005000,497000,491000,0,24580999,0,8,460000,32,0,0,-5927,0,0,0,-5927,3,76,1,0,0,0,0,62140,3. Mixed,Internal
RPA,MEDWAY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,1,0,35,1,0,38,35,6,0,No,0.1,No,Not Applicable,Not Applicable,0.33,4464,7.5,0,5,20101,13778994,1504586,360284,0,10344965,5319000,1,5882000,0,0,-217627,-2481711,0,-1736313,-293943,-4729594,4,288,0,0,0,0,370231,834202,3. Mixed,Internal
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,No,Not Applicable,Not Applicable,0,2224,2.22,0,0,444067,1835146,1798368,827817,0,4905398,0,0,Not Applicable,Not Applicable,-6900,0,0,0,-169818,-17908,-194626,0,21,17,0,0,0,767669,63829,3. Mixed,Internal
RPG,OXLEAS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,3,0,0,0,1,25,3,2,36,5,4,0,Yes,0,No,Not Applicable,Not Applicable,0,3717,1.69,0,1,162457,7012646,1034966,18663,0,8228732,0,1,0,0,0,0,0,0,-429293,-141800,-571093,8,8,4,0,1,0,0,21529,3. Mixed,Hybrid
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,1,2,0,5,0,0,0,No,1,Yes,93000,12.5,1,8935,11.23,0,0,608931,6234812,3772728,1942797,0,11960396,598872,6,36007,6.85,-64186,-1112151,-25397,0,-367384,-155088,-1724206,0,26,19,0,0,0,117445,76555,3. Mixed,Internal
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,1,0,0,0,0,1,0,0,4,0,0,0,Yes,0,Yes,1371,1.03,0.25,6500,6.25,275.42,0,5064000,39288000,2803000,6576000,0,32716000,21015000,2,1429000,0,-42495,0,-135000,0,-35866,-223248,-436609,0,57,26,0,0,0,0,488891,3. Mixed,Internal
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,4,1,0,7,0,0,0,Yes,0.5,No,Not Applicable,Not Applicable,1,2237,0.63,0,0,38627917,5593106,8586180,5034157,2453531,53911829,1476000,8,3514450,165.38,-362450,-3565646,-914392,0,-2951629,-376735,-8170852,7,202,6,0,0,0,1264785,791669,3. Mixed,Hybrid
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,2,0,0,0,0,0,6,4,0,13,6,2,0,No,0,No,Not Applicable,Not Applicable,1,2741,2.96,0,0,724889,1169000,14470000,1524000,17887889,0,0,1,387000,0,0,0,0,0,-855833,0,-855833,1,0,92,0,0,0,1218822,127202,3. Mixed,Internal
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,1,16,2,0,20,4,6,0,No,1,Yes,0,0,0,2007,7.53,0,0,0,22064000,4328000,3464000,0,29856000,0,1,11000,13.72,-263661,-62889,-4095237,0,0,-121139,-4542926,3,160,0,0,0,0,288947,565590,3. Mixed,Hybrid
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,26,0,0,0,0,0,1,0,27,10,6,0,Yes,0,No,Not Applicable,Not Applicable,0,13778,6.89,0,0,23376237,16602523,725489,3091207,0,43795456,0,0,Not Applicable,Not Applicable,-115022,-5317,-351746,0,-28812,-186999,-687896,4,130,2,0,0,0,0,0,2. Electronic,Internal
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,16,0,0,17,10,10,0,No,0.5,No,Not Applicable,Not Applicable,1,2440,1.34,401.6,10,8472740,4032750,1094350,521360,0,14121200,0,0,Not Applicable,Not Applicable,-96922,-327519,-2032639,0,-802118,-436685,-3695883,0,56,32,0,0,0,784748,96222,3. Mixed,Internal
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,1,0,0,0,1,0,9,4,0,17,0,0,0,Yes,1,Yes,4204,0,1,33141,50,0,40,4572340,16902724,10264296,861405,2698430,24776491,5125844,6,359998,2.98,-1457602,-5519145,-1821057,-1067548,-2193589,-2288175,-14347116,8,208,152,0,0,0,2092234,389344,3. Mixed,Hybrid
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,19,0,2,1,1,222,1,3,249,144,20,44,Yes,1,No,Not Applicable,Not Applicable,1,13054,5.8,0,0,19053889,813730,1317163,153938,0,21338720,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,6,46,24,0,0,0,0,84000,3. Mixed,Internal
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,1,1,0,0,0,0,0,18,24,0,45,12,0,0,Yes,1,No,Not Applicable,Not Applicable,0.93,6114,18.05,0,9,3753514,10265620,4187009,0,0,18206143,0,50,679276,85.7,0,-2842794,-384039,0,-711987,-589529,-4528349,5,76,6,0,0,0,766242,49067,3. Mixed,Hybrid
RRJ,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0,Yes,0,0,1,2350,2.51,0,4,0,1519644,507820,751665,0,2779129,0,1,50000,0.75,-20000,-13182,-22897,0,-221270,-72112,-349461,0,11,3,0,0,0,543022,29322,3. Mixed,Internal
