Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE),Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (CO2e (tonnes)),Waste managers (WTE),WEEE waste cost (£),WEEE waste volume (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (CO2e (tonnes)),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,12,21,7,0,6,2,54,14,3,119,33,16,43,Yes,0.00,No,Not Applicable,Not Applicable,1.00,0,0.00,0.00,0,"4,926,000","3,284,000","3,591,000","997,000",0,"12,764,000","34,000",0,Not Applicable,Not Applicable,0,"631,000","2,879,000","15,000",0,0,"3,525,000",3,22,51,0,0,0,0,"390,000",3. Mixed,External
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,2,0,0,0,0,0,17,10,0,31,5,8,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"9,379",27.83,0.00,14,0,0,"24,230,700","12,902,110",0,"36,267,299","865,511",1,"250,000",30.00,0,"-408,000",0,0,"-2,610,323","-1,118,710","-4,137,033",8,129,56,0,0,0,"819,375","978,739",3. Mixed,Internal
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,2,1,0,0,0,0,0,0,6,10,0,19,1,0,0,Yes,1.00,Yes,"69,435",33.11,1.00,"16,067",41.40,737.46,23,"13,602,483","22,469,549","1,340,805","58,376",0,"30,652,110","6,819,103",0,Not Applicable,Not Applicable,"-7,140","-1,079,440","-217,802","-117,137","-2,664,306","-1,141,845","-5,227,670",3,134,11,0,0,0,"1,088,833","218,528",3. Mixed,Internal
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,3,1,0,0,0,0,4,0,47,2,0,57,0,36,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"3,275",20.52,840.29,14,"27,948,000","20,580,000","3,410,000","540,000",0,"52,214,000","264,000",0,Not Applicable,Not Applicable,"-150,597","-106,732","-126,915","-21,125","-1,216,163","-808,789","-2,430,321",1,70,7,0,0,0,"480,130","22,717",3. Mixed,Internal
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,3,0,2,0,0,7,0,0,0,Yes,0.40,Yes,"55,958",7.00,2.00,"32,319",48.76,23.47,5,"23,517,000","3,446,000","2,126,000","58,000","1,182,000","27,965,000",0,0,Not Applicable,Not Applicable,"-80,000",0,0,0,"-3,400,624",0,"-3,480,624",0,369,48,0,0,0,"558,321","4,515,960",3. Mixed,Internal
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,3,8,0,0,0,0,2,2,11,3,0,29,15,2,0,No,1.50,No,Not Applicable,Not Applicable,1.00,"17,976",19.01,0.00,2,"2,254,000","36,560,000","11,325,000","29,899,000","10,433,000","47,249,000","22,356,000",0,Not Applicable,Not Applicable,"-68,886","-4,738,614","-479,300",0,"-2,896,699",0,"-8,183,499",9,126,21,0,0,0,"944,008","622,600",3. Mixed,Internal
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,1,0,17,1,0,21,19,4,0,Yes,0.50,No,Not Applicable,Not Applicable,1.00,"1,350",5.36,0.00,5,"14,111,403","3,953,071","711,320","1,770,777",0,"20,506,773","39,798",0,Not Applicable,Not Applicable,"-591,903","-184,927",-829,0,"-1,756,712","-506,346","-3,040,717",2,29,11,0,0,0,"690,551","74,413",3. Mixed,Hybrid
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,3,0,0,4,3,3,0,Yes,0.00,Yes,"10,500",0.00,1.00,"8,288",4.30,0.00,6,"9,442,000","1,355,000","4,178,000","2,900,000",0,"17,875,000",0,0,Not Applicable,Not Applicable,"-35,000","-160,714","-8,609,000",0,"-2,256,882","-169,766","-11,231,362",17,73,16,0,0,0,"1,584,317","401,512",3. Mixed,Internal
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,3,1,1,7,0,157,5,0,174,22,8,157,Yes,1.00,Yes,"4,735",3.47,1.00,670,13.44,0.00,3,"9,404,910","584,350","1,720,076","989,731",0,"12,699,067",0,1,"79,129",4.60,0,"-35,958",0,0,0,0,"-35,958",0,35,3,0,0,0,"547,365","64,799",3. Mixed,Hybrid
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,3,0,12,4,0,21,5,17,0,Yes,0.00,Yes,"383,719",0.00,0.50,"2,654",2.47,0.00,7,"25,572,000","9,427,000","6,286,000",0,"6,286,000","33,235,000","1,764,000",0,Not Applicable,Not Applicable,0,0,0,0,"-1,015,842","-1,280,053","-2,295,895",3,239,3,0,0,0,"830,621","1,760,522",3. Mixed,Hybrid
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,1,0,25,1,0,30,0,1,0,Yes,0.00,Yes,"11,310",4.19,1.00,"4,842",4.59,0.00,6,"6,437,000","13,668,000","1,329,000","2,454,000",0,"23,888,000",0,0,Not Applicable,Not Applicable,0,"-673,839","-386,816",0,"-1,043,182","-356,517","-2,460,354",4,24,31,0,0,0,0,"668,441",3. Mixed,Hybrid
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,38,0,2,2,0,44,4,1,92,8,23,0,Yes,0.50,No,Not Applicable,Not Applicable,0.50,0,0.00,62.00,1,0,"9,948,000",0,"1,511,000",0,"11,459,000",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,97,108,18,0,0,0,0,"143,706",3. Mixed,Hybrid
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,48,0,2,2,0,6,6,0,64,19,4,0,Yes,0.00,No,Not Applicable,Not Applicable,1.00,"3,961",11.01,0.00,3,"25,277,000","3,790,500","3,790,500",0,0,"24,527,000","8,331,000",0,Not Applicable,Not Applicable,0,0,0,0,"-10,538",0,"-10,538",13,31,6,0,0,0,0,0,2. Electronic,Internal
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,8,1,1,2,0,44,9,0,65,17,3,1,Yes,1.00,Yes,"47,650",22.16,1.00,"6,529",21.12,0.00,5,0,"6,567,570","381,557","490,722",0,"6,348,191","1,091,658",3,"854,000",257.00,0,"-1,957,776","-707,236",0,0,0,"-2,665,012",4,67,0,0,0,0,"125,029","110,658",3. Mixed,Hybrid
RVJ,NORTH BRISTOL NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,1,0,0,0,0,0,0,3,0,1,0,5,0,0,0,Yes,1.00,Yes,"52,695",25.35,1.00,"6,547",12.40,0.00,25,"12,799,000","16,232,000","1,556,000","83,000",0,"27,731,000","2,939,000",14,"132,871",173.00,0,0,0,0,"-2,058,793","-52,976","-2,111,769",8,146,16,0,1,0,"550,983","714,936",1. Paper,Hybrid
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,10,0,2,0,0,52,21,0,85,51,3,43,Yes,1.00,No,Not Applicable,Not Applicable,0.00,"3,664",19.44,0.00,0,"3,241,000","5,422,000",0,"8,000",0,"8,671,000",0,0,Not Applicable,Not Applicable,0,"-49,821","-449,304","-37,781",0,0,"-536,906",1,172,7,0,0,0,"229,350",0,3. Mixed,Internal
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,2,0,25,9,0,38,10,18,0,Yes,0.00,No,Not Applicable,Not Applicable,0.40,"1,125",2.60,0.00,23,"3,512,923","4,951,390","619,759","7,652,339",0,"16,440,604","295,807",0,Not Applicable,Not Applicable,"-163,802","-355,443","-37,239",0,"-2,115,419","-636,829","-3,308,732",3,125,2,0,0,0,"1,777,615","268,484",3. Mixed,Hybrid
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,3,1,0,0,0,0,0,0,9,5,0,18,2,2,3,No,0.50,No,Not Applicable,Not Applicable,1.00,"5,308",84.12,"1,259.32",2,"8,207,000","1,961,000","4,901,000",0,0,"15,069,000",0,0,Not Applicable,Not Applicable,"-797,063",0,0,0,"-1,962,140","-1,971,033","-4,730,236",24,199,1,0,1,0,"3,100,042","757,170",3. Mixed,Hybrid
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,0,0,31,0,0,33,24,12,1,Yes,1.00,Yes,0,0.00,1.00,"2,245",14.06,634.52,7,"14,525,173","7,676,230","7,497,105","4,641,586",0,"30,432,334","3,907,760",6,"951,015",0.00,"67,281","46,827","-151,263","-17,724","-1,008,237","-851,973","-1,915,089",5,74,2,0,0,0,"379,563","149,507",3. Mixed,Internal
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,12,3,1,7,10,74,12,1,122,50,26,0,Yes,0.00,No,Not Applicable,Not Applicable,1.00,"13,640",8.46,0.00,6,0,"4,383,789","3,956,468","906,537",0,"9,246,794",0,1,"72,815",19.80,0,0,0,0,"-53,876",0,"-53,876",0,116,7,0,0,0,0,"197,531",3. Mixed,Hybrid
RW4,MERSEY CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,10,2,1,0,1,86,7,2,109,9,19,0,No,1.00,Yes,0,0.00,1.00,"10,082",23.50,0.00,4,"17,746,508","9,183,130","5,949,625","2,154,423",0,"35,033,686",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,37,79,8,0,0,0,"122,705","197,208",3. Mixed,Hybrid
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,23,0,0,2,0,74,13,2,114,24,38,3,Yes,0.50,Yes,"8,059",3.10,0.50,"4,384",1.90,0.00,2,"4,953,000","12,578,000",0,"200,000",0,"17,731,000",0,0,Not Applicable,Not Applicable,0,"-9,128","-15,902","-12,559",0,0,"-37,589",44,15,0,1,2,0,"698,562",0,1. Paper,Internal
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,91,4,0,97,92,4,40,No,1.00,No,Not Applicable,Not Applicable,1.00,"32,128",12.49,0.00,5,"29,495,000","10,251,000","2,717,000",0,0,"42,212,000","251,000",5,"446,454",47.30,"-238,323","87,794","247,366",0,"-1,519,749","-516,223","-1,939,135",3,87,49,0,0,0,"1,751,670","141,463",3. Mixed,Internal
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,4,2,7,0,0,0,0,0,81,2,0,96,81,5,74,Yes,0.00,No,Not Applicable,Not Applicable,0.00,0,0.00,0.00,10,"18,597,171","5,338,416","4,033,122","662,564",0,"28,631,273",0,0,Not Applicable,Not Applicable,0,"-93,197",0,-694,"-1,209,283",0,"-1,303,174",2,143,46,0,0,0,"2,941,683","539,012",3. Mixed,Internal
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,3,0,3,0,0,0,0,0,0,1,0,7,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"23,723",18.73,0.00,21,"32,730,998","14,294,744","10,237,666","2,489,748",0,"59,535,281","217,875",0,Not Applicable,Not Applicable,"-388,667",0,0,0,"-3,945,040","-1,882,847","-6,216,554",6,205,65,0,0,0,"2,455,960","943,096",3. Mixed,Internal
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,2,2,0,0,0,0,2,0,16,4,1,27,13,6,0,Yes,0.33,No,Not Applicable,Not Applicable,0.33,"8,764",8.07,0.00,4,"29,368,358","7,003,736","923,093",0,0,"37,295,187",0,1,"485,891",0.00,"-113,120",0,0,0,"-1,672,356","-471,801","-2,257,277",2,91,0,0,0,0,"1,691,851","1,761,785",3. Mixed,Internal
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,2,0,1,1,0,5,0,0,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"4,530",5.26,0.00,3,0,"5,194,030","1,257,789","1,192,466",0,"7,644,285",0,1,"1,034,473",500.00,"-6,835","-757,752","-1,414,069","-216,717","-1,864,011","-939,461","-5,198,845",2,76,54,0,0,0,"497,663","625,714",3. Mixed,Internal
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,1,0,0,0,0,0,0,1,7,5,0,14,0,0,0,No,1.00,No,Not Applicable,Not Applicable,1.00,"5,283",4.58,0.00,0,"10,434,000","3,359,000",0,"15,598,146",0,"29,191,146","200,000",3,"2,080,000",500.00,"-200,476","-1,696,698","-441,753",0,"-432,669","-839,684","-3,611,280",2,45,24,0,0,0,"3,380,886","259,420",1. Paper,Hybrid
RWJ,STOCKPORT NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,1,0,0,0,0,0,1,19,0,0,22,0,19,0,Yes,1.00,No,Not Applicable,Not Applicable,0.70,"8,869",19.38,0.00,3,"22,827,996","4,480,104","5,316,462","37,404",0,"32,661,966",0,34,"5,317,113",0.00,0,"-203,748","4,542",754,"-868,924","-594,934","-1,662,310",8,21,33,0,0,0,"2,247,609","18,311",3. Mixed,Hybrid
RWK,EAST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,13,0,0,0,0,88,4,1,106,7,33,0,Yes,0.50,Yes,0,93.00,0.50,0,4.30,34.50,3,0,"3,466,023","2,297,583","1,212,671",0,"6,976,277",0,14,"342,589",187.80,0,"322,811","741,257",0,0,0,"1,064,068",5,62,13,0,0,0,0,"98,676",3. Mixed,Hybrid
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,3,0,0,2,0,8,3,0,0,Yes,1.50,Yes,0,0.00,1.00,"10,256",13.73,37.00,4,0,"16,086,000","108,000","1,630,000",0,"17,824,000",0,0,Not Applicable,Not Applicable,"-763,523","-1,612,759","-1,495,998",0,"-1,933,765",0,"-5,806,045",2,0,96,0,0,0,"744,478","102,091",2. Electronic,External
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,24,7,11,0,0,6,2,0,50,4,1,0,Yes,1.00,No,Not Applicable,Not Applicable,0.10,650,0.44,0.00,0,"8,832","5,603,328","1,305,374","2,765,656",0,"9,683,190",0,1,"67,330",12.50,0,0,0,0,0,0,0,9,79,3,0,0,0,0,0,3. Mixed,External
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,34,1,3,0,0,5,6,1,51,29,7,3,Yes,1.00,Yes,0,0.00,1.00,431,1.52,0.00,0,"3,904,563","3,207,466","965,419","213,245",0,"8,249,793","40,900",2,"289,086",1.42,0,0,0,0,"-25,315",0,"-25,315",15,37,3,0,0,0,0,"74,393",3. Mixed,Hybrid
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.20,0,13.20,0.00,2,"470,000","2,079,000","720,000","566,000",0,"3,835,000",0,1,"121,000",0.00,0,0,0,0,"-1,247,069","-595,009","-1,842,078",2,13,48,0,0,0,"483,209","326,837",3. Mixed,Internal
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,6,0,1,4,0,27,3,0,42,17,16,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,0,13.00,0.00,1,0,"2,320,825","460,472","94,077",0,"2,853,162","22,212",6,"536,385",0.00,0,"-143,623","-3,334,441","-306,413","-139,695",0,"-3,924,172",5,9,4,0,0,0,"67,690","63,296",3. Mixed,Internal
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,0,0,99,6,0,107,92,4,83,Yes,1.00,Yes,"13,520",1.00,1.00,"4,490",7.10,289.06,0,"22,535,130","4,267,893",0,"502,970",0,"27,305,993",0,2,"89,375",0.00,"-5,242","-32,676","-233,876",0,"-1,052,991","-668,403","-1,993,188",2,38,0,0,1,0,"394,539","14,645",3. Mixed,Internal
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,Yes,1.00,Yes,0,0.00,1.00,"9,327",45.78,0.00,18,"44,255,378","59,153,268","13,122,004","31,938,530",0,"136,117,869","12,351,311",19,"12,249,901","2,172.00","319,219","-2,253,537","-578,127",0,"-2,316,819","-546,647","-5,375,911",13,2,348,0,0,0,0,"488,132",3. Mixed,Hybrid
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,48,1,0,0,1,26,13,0,89,12,16,1,Yes,0.00,No,Not Applicable,Not Applicable,1.50,"3,388",2.48,1.00,1,0,"6,414,523",0,"1,618,290",0,"8,032,813",0,0,Not Applicable,Not Applicable,0,"-163,082","-932,932","-211,926",-500,0,"-1,308,440",13,54,16,0,0,0,0,"227,961",3. Mixed,Hybrid
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,2,2,7,0,0,39,13,2,65,8,4,0,Yes,0.50,No,Not Applicable,Not Applicable,0.50,0,13.52,0.00,16,"924,782","5,526,637","4,920,466","513,911",0,"11,885,796",0,0,Not Applicable,Not Applicable,"178,624",0,0,0,0,0,"178,624",19,25,2,0,0,0,"180,931","233,487",3. Mixed,Hybrid
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,12,0,3,0,0,78,8,3,104,47,8,23,No,1.00,Yes,"53,549",22.40,0.00,"32,897",11.96,558.66,10,"238,965","8,501,570","686,082","763,726",0,"10,190,343",0,7,"572,530",34.45,0,"705,513",0,0,"-126,492",0,"579,021",25,303,10,0,0,0,"67,024","118,939",3. Mixed,Internal
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,57,0,57,Not Applicable,Not Applicable,0,Yes,0.50,No,Not Applicable,Not Applicable,1.00,"1,697",0.30,0.00,0,"1,081,000","592,000","98,000",0,0,"1,771,000",0,2,"81,065",14.80,Not Applicable,"123,887","1,497",0,Not Applicable,Not Applicable,"125,384",0,2,1,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NORTH WEST COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,128,2,130,Not Applicable,Not Applicable,0,Yes,1.00,No,Not Applicable,Not Applicable,0.50,"9,842",2.47,0.00,2,"1,126,781","2,627,915","1,183,406",0,0,"4,938,102",0,0,Not Applicable,Not Applicable,Not Applicable,"-582,362",0,0,Not Applicable,Not Applicable,"-582,362",1,2,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,103,0,103,Not Applicable,Not Applicable,0,Yes,1.00,Yes,0,0.00,1.00,"1,849",1.82,0.00,0,0,"1,540,000","1,808,000","568,000",0,"3,916,000",0,1,"500,000",0.00,Not Applicable,0,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,MIDLANDS COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,86,1,87,Not Applicable,Not Applicable,0,Yes,0.50,No,Not Applicable,Not Applicable,0.70,0,3.44,0.00,0,0,0,"1,218,620",0,0,"1,218,620",0,6,"426,686",28.00,Not Applicable,0,0,"-83,207",Not Applicable,Not Applicable,"-83,207",0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,6,2,0,0,0,33,6,2,49,17,6,12,Yes,0.00,No,Not Applicable,Not Applicable,0.00,0,3.47,0.00,8,0,"5,482,191","607,126","843,960",0,"6,933,277",0,1,"56,085",23.00,0,"-19,609","-65,289","-3,430",0,0,"-88,328",4,32,12,0,0,0,0,"133,968",3. Mixed,External
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,2,0,18,8,0,30,7,16,1,Yes,0.00,Yes,"37,336",6.40,1.00,"1,143",2.90,0.00,2,"18,240,000","10,639,509","6,705,141","1,684,945",0,"37,269,595",0,0,Not Applicable,Not Applicable,"-333,363","-4,575,092","-1,973,080","-191,503","-876,897","-122,633","-8,072,568",2,285,139,0,0,0,"1,272,265","951,526",3. Mixed,Internal
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,5,1,0,0,0,2,26,7,1,42,25,6,0,No,0.40,No,Not Applicable,Not Applicable,0.40,0,8.60,0.00,4,0,"5,421,262","310,061","233,341",0,"5,964,664",0,1,"111,271",0.00,"-191,517","-520,081","-564,318",0,0,0,"-1,275,916",6,18,4,0,0,0,0,"59,261",3. Mixed,Hybrid
RXF,MID YORKSHIRE TEACHING NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,18,28,0,49,0,11,0,Yes,1.00,No,Not Applicable,Not Applicable,0.00,"23,980",13.91,0.00,4,"7,594,567","19,190,506","1,749,618","99,698",0,"28,476,108","158,281",1,"68,981",0.00,"-8,748","-109,805","-65,227","-25,089","-2,156,291","-1,347,465","-3,712,625",0,49,41,0,0,0,"143,527","79,414",3. Mixed,Hybrid
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,16,1,4,0,0,22,11,0,56,10,1,2,Yes,0.00,No,Not Applicable,Not Applicable,1.00,"5,500",4.60,0.00,4,0,"1,662,160","2,969,980","14,066",0,"4,646,206",0,0,Not Applicable,Not Applicable,0,"-311,332","-84,019","-43,261",0,0,"-438,612",0,138,8,0,0,0,"90,770","88,315",3. Mixed,Hybrid
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,2,0,7,2,0,13,6,2,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"1,697",2.38,0.00,0,"44,501,106","17,593,814","3,423,465","920,427","1,932,441","51,911,937","12,594,434",4,"105,156",129.20,0,"-1,036,641",0,0,-493,-34,"-1,037,168",7,0,127,0,0,0,"289,404","474,050",3. Mixed,Hybrid
